"","Dist","nu","n","Rivest","Fisher","NormalMean","PivotMean"
"1","Cayley",0.25,10,73.71,96.59,83.86,92.12
"2","Cayley",0.25,20,83.24,92.01,87.42,91.11
"3","Cayley",0.25,50,87.71,90.3,89.21,90.65
"4","Cayley",0.25,100,88.67,89.76,89.11,89.75
"5","Cayley",0.5,10,74.12,96.54,83.55,92.54
"6","Cayley",0.5,20,82.53,91.23,86.73,91.18
"7","Cayley",0.5,50,87.03,89.7,88.55,90.3
"8","Cayley",0.5,100,88.37,89.77,89.31,89.96
"9","Cayley",0.75,10,71.73,96.16,81.39,92.87
"10","Cayley",0.75,20,81.2,90.8,85.75,91.73
"11","Cayley",0.75,50,86.43,90.07,88.54,90.88
"12","Cayley",0.75,100,88.44,90.14,89.33,90.48
"13","Fisher",0.25,10,74.73,96.56,84.35,92.24
"14","Fisher",0.25,20,83.25,91.84,87.45,91
"15","Fisher",0.25,50,87.67,90.08,88.94,90.18
"16","Fisher",0.25,100,88.76,89.57,89.7,90.01
"17","Fisher",0.5,10,74.11,96.71,83.14,92.68
"18","Fisher",0.5,20,83.47,92.11,87.65,91.72
"19","Fisher",0.5,50,87.29,89.95,88.73,89.96
"20","Fisher",0.5,100,88.93,89.73,89.38,89.92
"21","Fisher",0.75,10,73.51,96.91,81.88,93.63
"22","Fisher",0.75,20,82.83,91.72,86.36,92.2
"23","Fisher",0.75,50,86.44,89.8,88.35,90.87
"24","Fisher",0.75,100,89.1,90.01,89.39,90.41
"25","Mises",0.25,10,79.1,98.92,86.66,94.91
"26","Mises",0.25,20,86.78,95.86,89.05,92.28
"27","Mises",0.25,50,88.89,90.81,89.67,90.68
"28","Mises",0.25,100,89.83,90.37,90.08,90.55
"29","Mises",0.5,10,82.36,99.02,86.66,95.54
"30","Mises",0.5,20,87.71,95.39,88.47,92.24
"31","Mises",0.5,50,89.29,90.78,89.29,90.38
"32","Mises",0.5,100,89.81,89.96,89.93,90.1
"33","Mises",0.75,10,82.98,99.23,85.98,96.41
"34","Mises",0.75,20,88.66,95.9,88.36,94
"35","Mises",0.75,50,90.11,91.36,89.33,91.28
"36","Mises",0.75,100,89.5,89.79,89.5,90
