"","Dist","nu","n","Rivest","Fisher","NormalMean","PivotMean"
"1","Cayley",0.25,10,75.5,96.2,84.5,92
"2","Fisher",0.25,10,74.5,97,84.4,91.5
"3","Mises",0.25,10,77.9,98.9,86.9,94.5
"4","Cayley",0.5,10,73,96.4,83.4,93.1
"5","Fisher",0.5,10,74.7,96.1,83,92
"6","Mises",0.5,10,84.2,99.1,86.5,96.2
"7","Cayley",0.75,10,72.2,95.7,82.3,93.6
"8","Fisher",0.75,10,72.4,96.1,82.8,93.6
"9","Mises",0.75,10,83.2,98.7,86.4,96.1
"10","Cayley",0.25,50,86.8,91,88.5,90.2
"11","Fisher",0.25,50,87.2,90.3,89.9,91.6
"12","Mises",0.25,50,88.9,90.8,89.6,90.8
"13","Cayley",0.5,50,87.6,90.4,89.6,91.2
"14","Fisher",0.5,50,86.4,88.8,87.6,89.1
"15","Mises",0.5,50,89.1,90,89.2,90
"16","Cayley",0.75,50,84.5,87.8,86.1,88.8
"17","Fisher",0.75,50,85.6,88.5,87.5,89.8
"18","Mises",0.75,50,92.3,94,91.6,92.8
"19","Cayley",0.25,100,88.8,90.3,89.6,90
"20","Fisher",0.25,100,91,91.6,91.4,91.2
"21","Mises",0.25,100,89.6,90.3,91.4,91.3
"22","Cayley",0.5,100,88.9,90.4,89.7,90.9
"23","Fisher",0.5,100,89,89.7,90.4,90.3
"24","Mises",0.5,100,91.1,91.2,90.2,90.5
"25","Cayley",0.75,100,88.4,89.3,89.2,89.7
"26","Fisher",0.75,100,88.3,89.5,89.5,90.3
"27","Mises",0.75,100,88.8,88.6,88.1,89.1
