"","Kappa","n","cover","width","Saccept","Kaccept"
"1",2,10,1,0.721902290228081,0.4532,0.4282
"2",2,10,1,0.799106565974862,0.4448,0.4442
"3",2,10,1,0.580634377734099,0.3484,0.3824
"4",2,10,1,0.712583491179997,0.447,0.4056
"5",2,10,1,0.733320478498643,0.438,0.4152
"6",2,10,1,0.757868007126321,0.4306,0.4238
"7",2,10,1,1.30458910503597,0.4994,0.4636
"8",2,10,1,0.766462908664626,0.4618,0.45
"9",2,10,1,0.458729422641385,0.2828,0.3682
"10",2,10,1,0.548814015021465,0.3192,0.3996
"11",2,10,1,1.8804222558309,0.5742,0.5096
"12",2,10,1,0.779729278724421,0.475,0.4452
"13",2,10,1,0.727105211965942,0.4452,0.4304
"14",2,10,1,0.608595492595632,0.3548,0.4018
"15",2,10,1,0.768160431923971,0.4524,0.433
"16",2,10,1,0.748011805417728,0.4394,0.4332
"17",2,10,0,0.713060405742652,0.4162,0.423
"18",2,10,1,0.470136143352978,0.2622,0.3734
"19",2,10,1,0.609081594852122,0.3656,0.392
"20",2,10,1,0.507167393026642,0.3114,0.3882
"21",2,10,1,1.16860198710529,0.4684,0.4508
"22",2,10,1,0.76574089368946,0.475,0.4276
"23",2,10,1,0.528500862517196,0.3228,0.3842
"24",2,10,1,0.56927791420877,0.351,0.3818
"25",2,10,1,1.79752130339903,0.59,0.5582
"26",2,10,0,0.662641718118566,0.3776,0.3982
"27",2,10,1,0.689890674154403,0.4208,0.4066
"28",2,10,1,0.694118225079729,0.4414,0.426
"29",2,10,1,0.775412081056795,0.4598,0.4376
"30",2,10,0,0.584743172295585,0.3572,0.3972
"31",2,10,1,0.694265706273729,0.4144,0.4044
"32",2,10,0,0.669599262533651,0.4096,0.411
"33",2,10,1,0.720833213305197,0.446,0.4346
"34",2,10,1,0.72245892115631,0.4168,0.4238
"35",2,10,1,1.05223131305504,0.4858,0.4628
"36",2,10,1,1.3861031795436,0.5838,0.5172
"37",2,10,1,0.832221250606627,0.4844,0.4446
"38",2,10,1,0.654426349803961,0.401,0.399
"39",2,10,1,0.886763770714827,0.468,0.446
"40",2,10,1,0.505968522618776,0.2966,0.3768
"41",2,10,1,0.693950218509878,0.4332,0.4156
"42",2,10,1,0.758554952349061,0.4344,0.4246
"43",2,10,1,0.728793807197563,0.4444,0.4338
"44",2,10,1,0.743296989173271,0.4448,0.4232
"45",2,10,0,0.471142433987779,0.2716,0.38
"46",2,10,1,0.626186541552212,0.3764,0.3986
"47",2,10,1,0.708232955607484,0.425,0.423
"48",2,10,1,0.973759743314982,0.4788,0.4578
"49",2,10,0,0.509522484602191,0.3132,0.3844
"50",2,10,1,0.685575856179534,0.4032,0.4118
"51",2,10,1,0.59321751650772,0.3664,0.3928
"52",2,10,1,0.668032663784805,0.4238,0.4226
"53",2,10,1,0.667186981187558,0.407,0.4044
"54",2,10,1,0.797682265603841,0.4876,0.4544
"55",2,10,0,0.543569801990538,0.337,0.3922
