"","Kappa","n","cover","width","Saccept","Kaccept"
"1",1.15,10,1,0.59790567706087,0.3364,0.3872
"2",1.15,10,1,1.58516297660383,0.6446,0.5482
"3",1.15,10,1,1.04401960703025,0.5268,0.4878
"4",1.15,10,1,0.824365711380602,0.4714,0.4476
"5",1.15,10,1,0.955036347724764,0.5174,0.4724
"6",1.15,10,1,0.639134622561787,0.3754,0.3916
"7",1.15,10,1,1.25304420726406,0.5824,0.5256
"8",1.15,10,1,0.904010577600602,0.4798,0.4432
"9",1.15,10,1,0.808012491811887,0.453,0.4324
"10",1.15,10,1,0.722515168454631,0.3988,0.4204
"11",1.15,10,1,0.806062700298331,0.474,0.448
"12",1.15,10,1,1.91802686654201,0.6864,0.5758
"13",1.15,10,1,0.589695812406065,0.3312,0.4
"14",1.15,10,1,1.19410659579574,0.5956,0.506
"15",1.15,10,1,0.611155744846973,0.3496,0.3996
"16",1.15,10,1,1.50048891220843,0.6268,0.544
"17",1.15,10,1,0.656057116311868,0.3756,0.3982
"18",1.15,10,1,0.97514889893286,0.5242,0.472
"19",1.15,10,1,0.989427615225272,0.5272,0.4684
"20",1.15,10,1,0.474450983015564,0.2582,0.388
"21",1.15,10,0,0.479529105922104,0.2746,0.3866
"22",1.15,10,1,0.614921157107639,0.3532,0.401
"23",1.15,10,1,2.58342345608146,0.8546,0.6934
"24",1.15,10,1,0.983394467086242,0.516,0.4688
"25",1.15,10,1,0.770657080757026,0.4346,0.4228
"26",1.15,10,1,1.21224171708731,0.5924,0.5096
"27",1.15,10,1,0.727663307696223,0.4228,0.4212
"28",1.15,10,1,1.61801778863504,0.638,0.5388
"29",1.15,10,1,0.596782550720564,0.3434,0.387
"30",1.15,10,1,0.60025008245292,0.3666,0.4068
"31",1.15,10,1,0.60276333735719,0.3532,0.41
"32",1.15,10,1,0.759657160891072,0.4438,0.4366
"33",1.15,10,1,0.989903590655502,0.5366,0.4736
"34",1.15,10,1,0.808033423138041,0.4588,0.4334
"35",1.15,10,1,0.603557993600974,0.3416,0.4008
"36",1.15,10,1,0.943648867885872,0.4892,0.4806
"37",1.15,10,0,0.576624078236222,0.3122,0.3856
"38",1.15,10,1,1.21315438849347,0.571,0.5118
"39",1.15,10,1,0.500741724458803,0.2924,0.3874
"40",1.15,10,1,0.719162265532346,0.4126,0.4216
"41",1.15,10,1,0.775282516332954,0.4526,0.4222
"42",1.15,10,1,0.642512623343228,0.3944,0.4052
"43",1.15,10,1,0.916306161187114,0.5142,0.4576
"44",1.15,10,1,0.413143170035657,0.214,0.3924
"45",1.15,10,1,2.27705401108386,0.7694,0.6446
"46",1.15,10,1,0.946603815312229,0.5346,0.4756
"47",1.15,10,1,0.688977097551589,0.4046,0.4142
"48",1.15,10,1,0.636890902861344,0.3652,0.4026
"49",1.15,10,1,0.862355628356663,0.4824,0.4372
"50",1.15,10,1,0.875149479700744,0.4916,0.4672
"51",1.15,10,1,1.05703336324873,0.537,0.4954
"52",1.15,10,1,0.698860850238795,0.4124,0.405
"53",1.15,10,1,0.835008588028276,0.4752,0.446
"54",1.15,10,1,0.617651376153765,0.3604,0.399
"55",1.15,10,1,0.950655738253615,0.5292,0.473
"56",1.15,10,0,0.840864568967911,0.4882,0.4336
"57",1.15,10,1,2.31093488229604,0.7068,0.5998
"58",1.15,10,1,0.699612520545946,0.4126,0.4092
"59",1.15,10,1,0.796822352948115,0.4442,0.4478
"60",1.15,10,1,0.908305446760972,0.5148,0.473
"61",1.15,10,1,0.664612979918731,0.3848,0.4154
"62",1.15,10,1,1.01668360551923,0.5152,0.4658
"63",1.15,10,1,0.872398797899703,0.4814,0.4454
"64",1.15,10,1,0.638835248311678,0.3662,0.4046
"65",1.15,10,0,0.7102691222695,0.4318,0.4036
"66",1.15,10,1,0.751012603911968,0.43,0.4182
"67",1.15,10,1,0.818227269510561,0.4692,0.4372
"68",1.15,10,1,1.14106618715657,0.5808,0.5112
"69",1.15,10,1,2.26379686575579,0.784,0.653
"70",1.15,10,1,0.819766607548705,0.4452,0.4324
"71",1.15,10,0,0.581683602490903,0.3374,0.3998
"72",1.15,10,1,0.714963961243163,0.4444,0.4162
"73",1.15,10,1,2.18465061924567,0.7228,0.6164
"74",1.15,10,1,0.809654814961585,0.4638,0.4524
"75",1.15,10,1,0.614754599461938,0.344,0.3856
"76",1.15,10,1,2.03727852646997,0.731,0.6004
"77",1.15,10,1,1.24122718529687,0.5822,0.5022
"78",1.15,10,1,0.714931774975733,0.4396,0.416
"79",1.15,10,1,1.61656509114195,0.6248,0.5514
"80",1.15,10,1,0.663764170438428,0.389,0.4088
"81",1.15,10,1,0.823821519379039,0.4708,0.427
"82",1.15,10,1,1.54633819582376,0.665,0.5554
"83",1.15,10,1,1.45162723315271,0.6254,0.5538
"84",1.15,10,1,0.835854805679265,0.4612,0.447
"85",1.15,10,1,0.877903318838244,0.5064,0.4648
"86",1.15,10,1,0.837587042858465,0.4542,0.435
"87",1.15,10,1,1.55035070356937,0.6042,0.5338
"88",1.15,10,1,1.00721214937812,0.5296,0.4786
"89",1.15,10,1,2.45524383365353,0.7922,0.6672
"90",1.15,10,1,0.503017707386606,0.2756,0.3816
"91",1.15,10,1,0.556625627465271,0.327,0.3854
"92",1.15,10,1,1.09977148629395,0.5414,0.4944
