"","eps","kappa","n","Dist","MeanDist","MeanNTH","MeanBoot","MedianDist","MedianNTH","MedianBoot"
"1",0,20,25,"Fisher",0.0639061110929062,0.0750882648131355,0.0812621280901427,0.0607217518249306,0.0815670721832945,0.113061697122937
"1.1",0,20,25,"Fisher",0.0225385522817855,0.0740612914950417,0.0765668883278274,0.0316763826932366,0.0846547648533281,0.121688629065365
"1.2",0,20,25,"Fisher",0.0293924115678693,0.0696421142731779,0.0764178408114268,0.0302601005668511,0.0504894785321357,0.0632393264360107
"1.3",0,20,25,"Fisher",0.053175860765907,0.0877682672884927,0.0926405664744086,0.0269782380375056,0.103329872631005,0.125276364139554
"1.4",0,20,25,"Fisher",0.103519001193969,0.0699058897462243,0.0715805146001557,0.121719335295126,0.0656464446316864,0.0799150506561656
"1.5",0,20,25,"Fisher",0.0461459392595887,0.0732183089998601,0.0765727316016963,0.0499264647196504,0.0816750288822262,0.0943593524669445
"1.6",0,20,25,"Fisher",0.0331569695115432,0.0698346653844517,0.070137395518938,0.0508592494822264,0.081773349315383,0.10925687223952
"1.7",0,20,25,"Fisher",0.0754774148797952,0.0710058416113772,0.0708105201308486,0.0865748663280401,0.0706769250157319,0.103307418159854
"1.8",0,20,25,"Fisher",0.0799467807073737,0.0753781760944124,0.0737514959100394,0.0856113567306418,0.0810266135556128,0.158012419499009
"1.9",0,20,25,"Fisher",0.0635324761783931,0.0756974393452693,0.0752843847131738,0.061971547163285,0.0848101256313792,0.0956156285215526
"1.10",0,20,25,"Fisher",0.0306326659325933,0.0813673539135371,0.0892925254677861,0.0401157722189674,0.0869948023626578,0.12049256996554
"1.11",0,20,25,"Fisher",0.0243807961644105,0.0837263209464194,0.0873514282227436,0.0533700310695401,0.0917074706413712,0.119104706751747
"1.12",0,20,25,"Fisher",0.0524693578987238,0.0782536600470823,0.0785512979253394,0.0632536117805746,0.0699111503187017,0.0973582125249342
"1.13",0,20,25,"Fisher",0.0680398693334903,0.0756835438503818,0.0816404633980127,0.0732187575823674,0.0912560877264594,0.135160365148673
"1.14",0,20,25,"Fisher",0.0551927446100696,0.0895526735985989,0.101144170135189,0.0663241407219476,0.0994886043991884,0.128237843568223
"1.15",0,20,25,"Fisher",0.0489916643009125,0.0763430060294058,0.0773048271408431,0.0587979952860051,0.0347865052712783,0.0428109358636194
"1.16",0,20,25,"Fisher",0.0292879627203808,0.0870191244306602,0.0879999328153057,0.040960014821959,0.10564797624753,0.135722618428553
"1.17",0,20,25,"Fisher",0.0805994291479648,0.0715957070613733,0.0751789290764649,0.0943805368537481,0.0672635273312866,0.0823244061565425
"1.18",0,20,25,"Fisher",0.0292451847538405,0.0824194317129606,0.0838130659071133,0.0463434387382752,0.061986239623617,0.0942795047214799
"1.19",0,20,25,"Fisher",0.0479026278485879,0.0793004329412229,0.0804034442071178,0.054608652314917,0.0865274648493773,0.119905151360003
"1.20",0,20,25,"Fisher",0.0532136350607787,0.0683367699830471,0.0686794609958119,0.0616672713670774,0.0816322067601342,0.117156079499622
"1.21",0,20,25,"Fisher",0.0534715720410421,0.0836765191725102,0.0905800165070185,0.0581447318950541,0.0961395239698693,0.141481592518107
"1.22",0,20,25,"Fisher",0.0635345629859545,0.0699548703921333,0.0726886977837818,0.059327606421484,0.0828637754919625,0.106118134879914
"1.23",0,20,25,"Fisher",0.0575089660580034,0.0774137606793596,0.0813068292313824,0.0511912241867792,0.0862466463415998,0.118589307072376
"1.24",0,20,25,"Fisher",0.0507671582603518,0.0814197577086314,0.0776006901525713,0.0755411491977329,0.0898136169127697,0.114017922809018
"1.25",0,20,25,"Fisher",0.0502028439702407,0.078073857696243,0.0863583364549461,0.0494462414220025,0.0810008301209845,0.108157610968828
"1.26",0,20,25,"Fisher",0.080648350851326,0.0800555135710772,0.083160816680033,0.06851941514716,0.0825185942646756,0.126032791640999
"1.27",0,20,25,"Fisher",0.0481411015840185,0.0941454863866275,0.0989218110728151,0.0692434400625358,0.101958792485481,0.193364203834672
"1.28",0,20,25,"Fisher",0.0871040882132403,0.0812366250505498,0.0896698862176807,0.104839272625706,0.0914281000405274,0.12462175752101
"1.29",0,20,25,"Fisher",0.045551379209742,0.064551683863629,0.0652946320934034,0.0525827518429121,0.062553251349762,0.106811745804374
"1.30",0,20,25,"Fisher",0.0450087299905516,0.0944916454065898,0.103518262115143,0.068212707794094,0.103067301466642,0.141513485033923
