"","eps","kappa","n","Dist","MeanDist","MeanNTH","MeanBoot","MedianDist","MedianNTH","MedianBoot"
"1",0,20,25,"Cayley",0.0500958977246625,0.158432397178129,0.172601657640345,0.0330931035848942,0.202538156097184,0.279287239231345
"1.1",0,20,25,"Cayley",0.0680466437118257,0.144055762336647,0.149152506475467,0.0618084331736626,0.162828513363296,0.20769442947032
"1.2",0,20,25,"Cayley",0.125621904528786,0.151162529279444,0.150420204908966,0.11058160764972,0.104040714647423,0.151590072512764
"1.3",0,20,25,"Cayley",0.0408383684346269,0.15058313399561,0.153027841575626,0.0773867983305308,0.150694913112601,0.267041504407959
"1.4",0,20,25,"Cayley",0.0422132115612164,0.151457063371978,0.155894936032132,0.0777979519416784,0.158749585921151,0.226221072989215
"1.5",0,20,25,"Cayley",0.037341081410218,0.115159964928119,0.122293631532764,0.0483345908960766,0.140996274459679,0.169822816710002
"1.6",0,20,25,"Cayley",0.0520555664802326,0.141849705553337,0.150195474519411,0.0422915887310906,0.168880838343588,0.300753337765211
"1.7",0,20,25,"Cayley",0.105928701270235,0.159570863116981,0.168249528727333,0.0573001082372763,0.111806345585831,0.15564269977026
"1.8",0,20,25,"Cayley",0.164902020715477,0.151009816798384,0.164073057439272,0.166897882975929,0.141838018746343,0.176497130933024
"1.9",0,20,25,"Cayley",0.122805734996201,0.161309822067395,0.169196900407388,0.127953948546631,0.175703552617134,0.248045440394742
"1.10",0,20,25,"Cayley",0.0922957692905428,0.161951874656211,0.164149128137477,0.100607677407959,0.155650378431624,0.2061094998912
"1.11",0,20,25,"Cayley",0.0371377727328782,0.154961036411891,0.168525245958657,0.0268250113086685,0.0378085286889594,0.0427261048229992
"1.12",0,20,25,"Cayley",0.0801775057765962,0.170324585975948,0.174572051237195,0.116731560328178,0.174744547704341,0.233072876487853
"1.13",0,20,25,"Cayley",0.0314936515476969,0.155909268933707,0.17140398208777,0.0591164653244254,0.183887252282041,0.265261915381383
"1.14",0,20,25,"Cayley",0.152635195190718,0.166977609295907,0.169161181819361,0.177346695526158,0.157383242725239,0.257883651698934
"1.15",0,20,25,"Cayley",0.185090098072264,0.13343539519701,0.146651714347111,0.185782120727483,0.106839783601385,0.148297323870851
"1.16",0,20,25,"Cayley",0.0760386095658553,0.160358365529765,0.166347911318958,0.116121688743719,0.178917318606861,0.254335934740017
"1.17",0,20,25,"Cayley",0.162689114112741,0.160221494446679,0.171722736373518,0.199586954643085,0.17457146223513,0.208355385957015
"1.18",0,20,25,"Cayley",0.142255014205923,0.141330664105772,0.145922777378027,0.134322376457763,0.172551339072605,0.205064239514679
"1.19",0,20,25,"Cayley",0.0665645575610958,0.129972664477782,0.143164612047402,0.0774496703147357,0.130981454928148,0.18188290639393
"1.20",0,20,25,"Cayley",0.0622282366541472,0.139598967581843,0.140186228645574,0.0718031004220548,0.176120499792913,0.236100858848171
"1.21",0,20,25,"Cayley",0.0683342765333216,0.159222148214185,0.173880064081851,0.102316516631605,0.189287176494635,0.275718527680503
"1.22",0,20,25,"Cayley",0.103746086897929,0.131026493745928,0.129251552164309,0.105700675670753,0.120253677080836,0.195182040081698
"1.23",0,20,25,"Cayley",0.0382672047488002,0.154688248390399,0.157650006455927,0.0520880676312799,0.133095464464635,0.240266506803398
"1.24",0,20,25,"Cayley",0.11122207696945,0.168892836558515,0.186010424017422,0.18067472816693,0.177616802667982,0.237407350787041
"1.25",0,20,25,"Cayley",0.10785350220695,0.13517986270117,0.137719235605484,0.141540206998701,0.128718323491913,0.193767329982024
"1.26",0,20,25,"Cayley",0.0664784811504017,0.142648137295669,0.145750631291867,0.0841218965835434,0.129219529965121,0.16991709872037
"1.27",0,20,25,"Cayley",0.168134808744001,0.150798628551529,0.163143487544002,0.203154315014502,0.189808792429083,0.299650445257151
"1.28",0,20,25,"Cayley",0.0731796467214414,0.149608306389236,0.153795019901726,0.0931945885371285,0.158619731262426,0.339758658346476
"1.29",0,20,25,"Cayley",0.154435911368411,0.171587338450114,0.184338035149297,0.125326894824326,0.224815370580513,0.338856318928028
"1.30",0,20,25,"Cayley",0.142543190422862,0.133093080849129,0.132903033462079,0.0785230221692812,0.0877922625963229,0.131736826475456
"1.31",0,20,25,"Cayley",0.0581171846796885,0.15598516972649,0.162901778605336,0.127887785336828,0.141950834984794,0.241818721395721
"1.32",0,20,25,"Cayley",0.17064922149462,0.155235559333526,0.169442721667663,0.157170458511807,0.123055961694238,0.199100720314002
"1.33",0,20,25,"Cayley",0.0703669371857047,0.159400492825163,0.170519169279717,0.110650324434918,0.170773956700002,0.250100315194808
"1.34",0,20,25,"Cayley",0.0763572338060933,0.137266584612707,0.143752350734811,0.0545136471223909,0.115087611550574,0.169700494002151
"1.35",0,20,25,"Cayley",0.0669725282272093,0.15292098936886,0.158258080045883,0.0659917908716596,0.147040267963487,0.241948269644572
"1.36",0,20,25,"Cayley",0.0450969161194507,0.166713503290271,0.186384270608512,0.0259979862211231,0.18438785699305,0.30876679645229
"1.37",0,20,25,"Cayley",0.164615537098127,0.156185790441857,0.161747855406905,0.131391533552095,0.198914268194392,0.230282814728618
"1.38",0,20,25,"Cayley",0.0255030413448917,0.149036460112685,0.158281938409638,0.0541101401651595,0.171409374073909,0.228190912843489
"1.39",0,20,25,"Cayley",0.100335634029135,0.144518210931183,0.16012753838709,0.154012456630043,0.0942503288078937,0.170358998620495
"1.40",0,20,25,"Cayley",0.153245578459213,0.131787387784505,0.13638279048977,0.160994178422765,0.165450463265752,0.190439866035798
"1.41",0,20,25,"Cayley",0.0912405503280935,0.143442590239028,0.156451652109576,0.0930128941771957,0.165955258930252,0.231415476483869
"1.42",0,20,25,"Cayley",0.11732281795089,0.175813837686286,0.1854979845824,0.12857445100822,0.199656977683986,0.260098695416864
"1.43",0,20,25,"Cayley",0.17111946443667,0.148835971099561,0.154515480343348,0.149703391522614,0.171895638238816,0.22727213672322
"1.44",0,20,25,"Cayley",0.120394944114539,0.149399147196637,0.150312565693645,0.125526256335478,0.177624567128196,0.245237763306216
"1.45",0,20,25,"Cayley",0.0706264316961195,0.152452285957149,0.158155840663189,0.0813391148159407,0.141830654360509,0.212180994100232
"1.46",0,20,25,"Cayley",0.14397868687951,0.163815107089228,0.166952344019831,0.172603574294037,0.181469854209406,0.299693882035107
"1.47",0,20,25,"Cayley",0.0823395178390055,0.148590575379344,0.153895386482868,0.0873232443449304,0.10202772387195,0.130417479958391
"1.48",0,20,25,"Cayley",0.0989031802668914,0.147305126333606,0.153080554245802,0.0422379067217408,0.125678123916949,0.161744470870182
"1.49",0,20,25,"Cayley",0.109045870504598,0.168634474410318,0.164649540743011,0.0987949859616814,0.159291004257078,0.226572434233067
"1.50",0,20,25,"Cayley",0.0917440433999331,0.136855026900376,0.149723546198917,0.116508436094895,0.157621718482826,0.224630303344926
"1.51",0,20,25,"Cayley",0.0653465451810699,0.154030047129548,0.156045261571535,0.0739905682820829,0.146893087117846,0.184736699321722
"1.52",0,20,25,"Cayley",0.127452365330889,0.165832769390323,0.176309414125683,0.146614486235915,0.191636678294863,0.277300758411871
"1.53",0,20,25,"Cayley",0.0591649611935497,0.154296480174145,0.159249717973507,0.0441075121126317,0.173584316385334,0.287313501332029
"1.54",0,20,25,"Cayley",0.144314108670086,0.15607705008991,0.161926564654231,0.168854502908096,0.167638545811024,0.345547024477268
"1.55",0,20,25,"Cayley",0.174157115242639,0.154491609304819,0.162885449855769,0.171733019655604,0.158966966510663,0.218743546826957
"1.56",0,20,25,"Cayley",0.0962044289272867,0.143365361830245,0.152538427561039,0.0576845052800842,0.175675703930694,0.212105097379279
"1.57",0,20,25,"Cayley",0.079937643201356,0.143820693968253,0.158118851571596,0.0944702671342605,0.146381837692332,0.192894003257834
"1.58",0,20,25,"Cayley",0.13379780473313,0.142107296243096,0.151929248191255,0.143202384620832,0.149753089129471,0.217092315563637
"1.59",0,20,25,"Cayley",0.11952034904615,0.170490051628557,0.172543647296885,0.126206091495351,0.187761204609052,0.241465380737058
"1.60",0,20,25,"Cayley",0.131128445706611,0.16454557231847,0.168025421441314,0.159839806676216,0.192537946612513,0.266582755645785
"1.61",0,20,25,"Cayley",0.082905226855037,0.147108708566196,0.14351986159828,0.0957686449701679,0.120775799712962,0.185854238617703
"1.62",0,20,25,"Cayley",0.0479541396886343,0.149430909587853,0.15397126072782,0.0175900374039817,0.17792064330596,0.241771766350667
"1.63",0,20,25,"Cayley",0.10543118610285,0.14645797401815,0.166164764368979,0.120607685172557,0.160138839719027,0.242892392265601
"1.64",0,20,25,"Cayley",0.0412108644845092,0.16626172229875,0.172620188684548,0.0404011356329065,0.206612663133266,0.272180850460867
"1.65",0,20,25,"Cayley",0.0911444191098683,0.167031407162384,0.172274508288454,0.103098408658008,0.188342379959733,0.287328116749634
"1.66",0,20,25,"Cayley",0.0400629011336125,0.178112773634764,0.18515612344457,0.0291262247376908,0.139021058596674,0.273839279382646
"1.67",0,20,25,"Cayley",0.144808593948642,0.174906672599238,0.187500959384126,0.110979223264935,0.195391607182817,0.241949559060774
"1.68",0,20,25,"Cayley",0.0633575557819271,0.146095019362293,0.141597428604062,0.0281105610324475,0.179513174292482,0.256732085047676
"1.69",0,20,25,"Cayley",0.0656932625552354,0.159015398491538,0.164044833160169,0.0597942940350072,0.150223325550898,0.251445015946026
"1.70",0,20,25,"Cayley",0.119436374476087,0.16504184718246,0.173501633100937,0.187368433970261,0.173698744161629,0.277013602707841
"1.71",0,20,25,"Cayley",0.085041480819921,0.15437832068082,0.166390205277974,0.125624798628879,0.142186856543031,0.245935995007626
"1.72",0,20,25,"Cayley",0.149163835783342,0.135338339131835,0.144883170125523,0.16667889119204,0.14249296743037,0.215751423642604
"1.73",0,20,25,"Cayley",0.168626458710169,0.146919978536662,0.153458804662786,0.199158051573234,0.132296751788653,0.182589541177673
"1.74",0,20,25,"Cayley",0.0658698781266783,0.150413585905469,0.153734441309828,0.0743904218645002,0.167895308569487,0.217836721693425
"1.75",0,20,25,"Cayley",0.145212984322845,0.157269309622239,0.167270784738396,0.112394894833402,0.190628389503005,0.244202481484283
"1.76",0,20,25,"Cayley",0.0717992146114969,0.139770360120226,0.144863962306533,0.0903807903683555,0.16260489894187,0.20452847844643
"1.77",0,20,25,"Cayley",0.165953685868395,0.159445788895272,0.157304567816179,0.181625500575448,0.169619706782134,0.27299104149426
"1.78",0,20,25,"Cayley",0.0825952801357102,0.16601064068316,0.188107722090369,0.0988148826642852,0.200467756105703,0.288242530280211
"1.79",0,20,25,"Cayley",0.12809962995822,0.149021091571351,0.160150021126783,0.11219865036362,0.195309852271647,0.267711029935822
"1.80",0,20,25,"Cayley",0.0648759032619497,0.141739940016943,0.141086538705792,0.0303018814920449,0.173935050105007,0.225386215269668
"1.81",0,20,25,"Cayley",0.126288259123222,0.157158281716184,0.173668541507031,0.115233354688174,0.17978934525632,0.320248723870072
"1.82",0,20,25,"Cayley",0.0984331456621998,0.148757768887464,0.153085193565327,0.111561155628153,0.157536674591666,0.228843219259137
"1.83",0,20,25,"Cayley",0.0478278362788363,0.157515766285255,0.166805701425058,0.0358339116315458,0.193650672283952,0.288950977247895
"1.84",0,20,25,"Cayley",0.133325313723119,0.148741897085993,0.158940535028172,0.161562905202842,0.16534629011885,0.24479462368437
"1.85",0,20,25,"Cayley",0.111596267901392,0.162812040893053,0.166942370307746,0.165053306008625,0.193913504589719,0.237129623513798
"1.86",0,20,25,"Cayley",0.0721236050512829,0.15034496038623,0.154564563895236,0.0798552872303646,0.169157315786451,0.303800386982826
"1.87",0,20,25,"Cayley",0.12381429205649,0.140598142711434,0.148604368199806,0.142639378764183,0.0360293623270038,0.0424318185400381
"1.88",0,20,25,"Cayley",0.150622776919764,0.176554513891707,0.177545158997424,0.146273468358886,0.209968633139383,0.276348020680947
"1.89",0,20,25,"Cayley",0.113979777742038,0.169296508645876,0.175237871582025,0.0859957377289828,0.203731757703256,0.300049524167414
"1.90",0,20,25,"Cayley",0.0698203690416326,0.147397877142232,0.153092643227934,0.0701024000836166,0.138073816324036,0.188394143277694
"1.91",0,20,25,"Cayley",0.0625921045237186,0.148895807841875,0.159387788596441,0.0747659094617293,0.114062073143189,0.156549375740528
"1.92",0,20,25,"Cayley",0.119151536602359,0.159219705345644,0.156932154440567,0.125700318236334,0.155825993228083,0.228499330433134
"1.93",0,20,25,"Cayley",0.144612959876397,0.177839835702809,0.188082719085903,0.158696355009172,0.197880288192068,0.265010105821863
"1.94",0,20,25,"Cayley",0.0911598320628906,0.164136670111256,0.184682468145136,0.124155155623304,0.19936394028812,0.263799697560458
"1.95",0,20,25,"Cayley",0.0985670024878073,0.137914308409636,0.14603749117204,0.0941987806497007,0.153284616828524,0.239106981172774
"1.96",0,20,25,"Cayley",0.0760751225845046,0.162343003046523,0.173094087008886,0.0246313763006153,0.170678402881315,0.251669419990233
"1.97",0,20,25,"Cayley",0.106463602658287,0.164547315797026,0.172911047564147,0.113715201160007,0.190031005627702,0.247820132224161
"1.98",0,20,25,"Cayley",0.0840002023487603,0.140098633648187,0.156857568583639,0.0870165393387061,0.148278048159499,0.199086914702968
"1.99",0,20,25,"Cayley",0.081559822117328,0.165316352386243,0.172782454884477,0.0686380908399729,0.199202306148534,0.258204676397554
"1.100",0,20,25,"Cayley",0.146343799399322,0.151619440170043,0.163674294176981,0.151408215673404,0.165054883884026,0.214399949558145
"1.101",0,20,25,"Cayley",0.14543584723596,0.16931600342102,0.176833095617229,0.137294421395222,0.196140528207715,0.271566802031537
"1.102",0,20,25,"Cayley",0.100700651154373,0.140627864368268,0.156071748230297,0.0909477606696996,0.162808042679077,0.249292388577154
"1.103",0,20,25,"Cayley",0.156301952387361,0.151438290231237,0.15755485741448,0.15502853800379,0.194980910644959,0.271857882817828
"1.104",0,20,25,"Cayley",0.0616369382132376,0.12910404017344,0.129932388047562,0.0480577611022067,0.16950701365486,0.223884116533492
"1.105",0,20,25,"Cayley",0.152553004971759,0.154843794532972,0.160560392613504,0.161160558013832,0.18985384745914,0.272605646767212
"1.106",0,20,25,"Cayley",0.142795541433682,0.173168182480996,0.18408654967241,0.153991331518848,0.210349898796812,0.312363328368464
"1.107",0,20,25,"Cayley",0.0706296596866764,0.125881269096153,0.125984800693834,0.0651396115239565,0.144732483391511,0.232501079012465
"1.108",0,20,25,"Cayley",0.0801683357400703,0.17458734456732,0.182639962824087,0.117277593800767,0.174547738539552,0.272884053120467
"1.109",0,20,25,"Cayley",0.135272663225477,0.13976491150047,0.142275816907445,0.171831107525216,0.15464933764064,0.181204225437528
