"","Dist","nu","n","Rivest","Fisher","NormalMean","PivotMean"
"1","Cayley","0.25",20,0,0,93,94
"2","Fisher","0.25",20,0,0,92,93
"3","Mises","0.25",20,0,0,93.5,95.5
"4","Cayley","0.5",20,0,0,91.5,94.5
"5","Fisher","0.5",20,0,0,92.5,94.5
"6","Mises","0.5",20,0,0,94.5,98.5
"7","Cayley","0.75",20,0,0,93.5,98
"8","Fisher","0.75",20,0,0,92,96
"9","Mises","0.75",20,0,0,94.5,97.5
"10","Cayley","0.25",50,0,0,94.5,96.5
"11","Fisher","0.25",50,0,0,95,96.5
"12","Mises","0.25",50,0,0,94,95.5
"13","Cayley","0.5",50,0,0,96.5,97
"14","Fisher","0.5",50,0,0,96,96.5
"15","Mises","0.5",50,0,0,95,95.5
"16","Cayley","0.75",50,0,0,91.5,95
"17","Fisher","0.75",50,0,0,93,94.5
"18","Mises","0.75",50,0,0,96.5,97
"19","Cayley","0.25",100,0,0,89.5,90
"20","Fisher","0.25",100,0,0,95.5,95.5
"21","Mises","0.25",100,0,0,93,95
"22","Cayley","0.5",100,0,0,93,93.5
"23","Fisher","0.5",100,0,0,93.5,94
"24","Mises","0.5",100,0,0,92.5,91.5
"25","Cayley","0.75",100,0,0,94.5,94
"26","Fisher","0.75",100,0,0,95,95.5
"27","Mises","0.75",100,0,0,93.5,95
